x,x/log(x),sqrt(x),(log(x))^2
155000000,27.207692974598416,NAN,0
156000000,27.216970788186423,NAN,0
157000000,27.226189318215802,NAN,0
158000000,27.235349317501274,NAN,0
159000000,27.24445152460853,NAN,0
160000000,27.25349666421154,NAN,0
161000000,27.262485447438795,NAN,0
162000000,27.2714185722088,NAN,0
163000000,27.280296723555253,NAN,0
164000000,27.28912057394226,NAN,0
165000000,27.29789078356999,NAN,0
166000000,27.3066080006711,NAN,0
167000000,27.315272861798228,NAN,0
168000000,27.323885992102937,NAN,0
169000000,27.332448005606356,NAN,0
170000000,27.340959505461875,NAN,0
171000000,27.34942108421007,NAN,0
172000000,27.35783332402627,NAN,0
173000000,27.3661967969609,NAN,0
174000000,27.3745120651729,NAN,0
175000000,27.382779681156503,NAN,0
176000000,27.39100018796147,NAN,0
